"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"2891","中信金","115/01/22 至 115/01/23","09:00","線上","本公司參加Goldman Sachs舉辦之投資人說明會(2026 Asia Financials Corporate Day)","289120251117M001.pdf","289120251117E001.pdf","https://ir.ctbcholding.com/c/events","","無","查詢"
"2892","第一金","115/01/09","09:00","網路","第一金受邀參加高盛亞洲金融企業日","289220260108M001.pdf","289220260108E001.pdf","https://ir.firstholding.com.tw/c/index.php","","無","查詢"
"3008","大立光","115/01/08","14:30","線上法說會","114年第四季營運報告及說明115年第一季營運展望","300820260108M001.pdf","300820260108E001.pdf","https://www.largan.com.tw/tw/investor/shareholder",法說會影音連結資訊:https://www.largan.com.tw/tw/investor/shareholder ,"無","查詢"
"3017","奇鋐","115/01/14","14:30","台北市基隆路一段176號B2會議室","受邀參加康和證券法人說明會，說明2025年第三季營運結果與未來展望","301720251112M001.pdf","301720251112E001.pdf","https://www.avc.co","","無","查詢"
"3715","定穎投控","115/01/14","10:30","泰國
Dynamic Technology Manufacturing (Thailand) Co., Ltd.","本公司受邀參加富邦證券舉辦之海外法人座談會，說明本公司營運狀況，參訪本公司泰國工廠。","371520251115M001.pdf","371520251115E001.pdf","https://www.dynaholding.com/investment/index.html#s2","","無","查詢"
"3715","定穎投控","115/01/13","10:30","泰國
Dynamic Technology Manufacturing (Thailand) Co., Ltd.","本公司受邀參加Morgan Stanley舉辦之海外法人座談會，說明本公司營運狀況，參訪本公司泰國工廠。","371520251115M001.pdf","371520251115E001.pdf","https://www.dynaholding.com/investment/index.html#s2","","無","查詢"
"3715","定穎投控","115/01/08","15:00","台北市中山區明水路700號","本公司受邀參加凱基證券舉辦之法人說明會，說明本公司營運狀況。","371520251115M001.pdf","371520251115E001.pdf","https://www.dynaholding.com/investment/index.html#s2","","無","查詢"
"4441","振大環球","115/01/12","14:30","台北市樂群三路128號7樓","本公司受邀參加國票證券舉辦之法人說明會","444120260109M001.pdf","444120260109E001.pdf","https://www.greatg.com.tw/investment.php","","報名請洽國票綜合證券 汪先生 Email:a00263@ibfs.com.tw","查詢"
"4441","振大環球","115/01/14","14:30","臺北市松山區敦化南路1段66號6樓603會議室C","本公司受邀參加元大證券舉辦之法人說明會","444120260109M002.pdf","444120260109E002.pdf","https://www.greatg.com.tw/investment.php","","無","查詢"
"4770","上品","115/01/13","14:30","線上法說會","本公司受邀參加元大證券舉辦之線上法人說明會進行營運概況說明，說明本公司財務及業務相關資訊。","477020260113M001.pdf","477020260113E001.pdf","https://www.alliedsupreme.com/tw/investor/investor-2/investor-9","","無","查詢"
"4958","臻鼎-KY","115/01/14","15:00","泰國巴真府","本公司受邀參加富邦證券舉辦之海外法人座談會，
說明PCB產業展望、公司營運績效相關資訊。","495820260112M001.pdf","495820260112E001.pdf","https://www.zdtco.com/tw/investor/events","","無","查詢"
"5871","中租-KY","115/01/05 至 115/01/06","17:00","新加坡","報告公司財務業務狀況及經營績效","587120251111M002.pdf","587120251111E002.pdf","https://www.chaileaseholding.com/en/InvestorRelations/InvestorArea#secondTab","","無","查詢"
"6239","力成","115/01/27","14:30","線上法說會","報告114年第四季營運成果及未來之營運展望","623920260127M001.pdf","623920260127E001.pdf","https://www.pti.com.tw",中文影音檔網址:6239_217_20260127_ch.mp4 ,"無","查詢"
"6281","全國電","115/01/05","14:00","線上法說會","本公司受邀參加凱基證券主辦之線上法說會，說明本公司之營運概況、財務及業務相關資訊。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","",中文影音檔網址:6281_16_20260105_ch.mp4 ,"無","查詢"
"6446","藥華藥","115/01/16","01:00","美國舊金山","本公司受邀參加J.P. Morgan舉辦之法說會「2026 Healthcare Conference」，說明本公司之營運概況，公司簡報時間為美西時間1月15日上午10時30分 (台灣時間1月16日上午2時30分)。","644620260115M001.pdf","644620260115E001.pdf","",法說會影音連結資訊:https://youtu.be/nAC5Kf5xk4Q ,"無","查詢"
"6472","保瑞","115/01/15","10:00","美國舊金山，Westin St. Francis飯店","本公司受邀參加J.P. Morgan舉辦之第44屆J.P. Morgan Healthcare Conference","647220260112M001.pdf","647220260112E001.pdf","https://reurl.cc/lNl4Vj","","無","查詢"
"6581","鋼聯","115/01/28","14:00","康和證券總公司(台北市信義區基隆路一段176號B2會議室)","本公司受邀參加康和證券舉辦之法說會，說明本公司之營運、財務及業務概況。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.tsutw.com.tw/",同步收看網址：:https://tsutw.webex.com/meet/tsu1021 ,"無","查詢"
"6830","汎銓","115/01/21 至 115/01/22","09:30","香港","本公司受邀參加IR Trust舉辦之香港NDR行程","683020260119M002.pdf","683020260119E002.pdf","https://www.msscorps.com/ec99/rwd1520/category.asp?category_id=70","","無","查詢"
"6838","台新藥","115/01/23","15:00","凱基證券(台北市中山區明水路700號)","本公司受邀參加凱基證券舉辦之法人說明會，說明本公司營運狀況","683820260123M001.pdf","683820260123E001.pdf","https://www.formosapharma.com/zh/%e8%82%a1%e6%9d%b1%e5%b0%88%e5%8d%80/",法說會影音連結資訊:https://www.youtube.com/watch?v=zI4SnX3AujU ,"無","查詢"
"7765","中華資安","115/01/21","14:30","元大金融廣場（台北市仁愛路三段157號）","本公司受邀參加元大證券舉辦之法人說明會，說明公司營運概況及未來展望，參加者以元大證券邀請者為優先。","776520260121M001.pdf","776520260121E001.pdf","https://www.chtsecurity.com/investor/earnings","","無","查詢"
"7765","中華資安","115/01/23","14:30","國泰證券（台北市大安區忠孝東路四段219號5樓）","本公司受邀參加國泰證券舉辦之法人說明會，說明公司營運概況及未來展望，參加者以國泰證券邀請者為優先。","776520260121M001.pdf","776520260121E001.pdf","https://www.chtsecurity.com/investor/earnings","","無","查詢"
"7788","松川精密","115/01/16","14:30","元大金融廣場3樓-D會議廳(台北市仁愛路三段157號3樓)","本公司受邀參加元大證券舉辦之法人說明會，報告最新產業概況及未來展望。","778820260116M001.pdf","778820260116E001.pdf","https://www.songchuan.com/sc/?page_id=5594",中文影音檔網址:7788_3_20260116_ch.mp4 英文影音檔網址:7788_3_20260116_en.mp4 ,"無","查詢"
"7799","禾榮科","115/01/19 至 115/01/20","09:00","香港及新加坡","本公司受邀參加Morgan Stanley舉辦之「Non-Deal Roadshow」，會中就公司業務狀況等說明。","779920260116M001.pdf","779920260116E001.pdf","https://www.heron-neutron.com/investors/conference","","無","查詢"
"8070","長華*","115/01/28","14:30","台北市中山區明水路700號12樓會議廳(凱基證券大樓)","本公司受邀參加凱基證券舉辦之法人說明會，說明公司營運概況。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.cwei.com.tw/",法說會影音連結資訊:未輸 ,"無","查詢"
"8404","百和興業-KY","115/01/22","14:00","本公司台灣辦事處所在地(彰化縣和美鎮和港路575號)","本公司召開法人說明會，說明本公司財務業務狀況及經營績效。","840420260122M001.pdf","840420260122E001.pdf","http://www.kypaiho.com/",中文影音檔網址:8404_16_20260122_ch.mp4 ,"無","查詢"
"9938","百和","115/01/22","14:30","本公司所在地(彰化縣和美鎮和港路575號)","本公司召開法人說明會，說明本公司財務業務狀況及經營績效","993820260119M001.pdf","993820260119E001.pdf","https://www.paiho.com",中文影音檔網址:9938_47_20260122_ch.mp4 ,"無","查詢"
